Rank,Pair,Stock1_Permco,Stock2_Permco,Num_Trades,Total_PnL,Avg_PnL,Sharpe_Ratio,Diverge_Date,Converge_Date,Entry_Spread,Exit_Spread,Position_Type,Trade_PnL,Days_Held
5,GOLDENSTONE ACQUISITION LTD-TRAILBLAZER MERGER CORP I,59223,59530,4,-0.07643506143481715,-0.01910876535870429,-32.76493176997706,2024-06-26,2024-07-03,0.006866315516093513,0.0249474169829198,Long S1/Short S2,-0.018081101466826288,7
5,GOLDENSTONE ACQUISITION LTD-TRAILBLAZER MERGER CORP I,59223,59530,4,-0.07643506143481715,-0.01910876535870429,-32.76493176997706,2024-07-15,2024-08-08,0.008228970299732685,0.03679776398541157,Long S1/Short S2,-0.028568793685678884,24
5,GOLDENSTONE ACQUISITION LTD-TRAILBLAZER MERGER CORP I,59223,59530,4,-0.07643506143481715,-0.01910876535870429,-32.76493176997706,2024-08-09,2024-12-31,0.006262340770292196,0.010608090001022363,Long S1/Short S2,-0.004345749230730167,144
6,BROAD CAPITAL ACQUISITION CORP-QUETTA ACQUISITION CORP,59119,59704,1,-0.015879878551490645,-0.015879878551490645,,2024-01-02,2024-12-31,0.0,0.015879878551490645,Long S1/Short S2,-0.015879878551490645,364
7,R F ACQUISITION CORP-FOUR LEAF ACQUISITION CORP,59230,59514,1,-0.022708038091745042,-0.022708038091745042,,2024-01-08,2024-11-04,0.00183740180454528,0.024545439896290322,Long S1/Short S2,-0.022708038091745042,301
8,ATLANTIC UNION BANKSHARES CORP-HOPE BANCORP INC,12461,15933,1,-0.0023942380184548417,-0.0023942380184548417,,2024-01-02,2024-12-31,0.004986999999999964,0.007381238018454805,Long S1/Short S2,-0.0023942380184548417,364
9,TRUSTCO BANK CORP NY-FIRST COMMONWEALTH FINANCIAL COR,5926,29505,1,-0.00578255874374789,-0.00578255874374789,,2024-01-02,2024-12-31,-0.003262999999999794,-0.009045558743747684,Short S1/Long S2,-0.00578255874374789,364
10,YOTTA ACQUISITION CORP-GLOBAL BLOCKCHAIN ACQ CORP,59276,59291,14,-0.5612414263399164,-0.04008867330999403,-35.85847166977242,2024-01-10,2024-01-19,-0.009415321013825695,0.013123328282576674,Long S1/Short S2,-0.02253864929640237,9
10,YOTTA ACQUISITION CORP-GLOBAL BLOCKCHAIN ACQ CORP,59276,59291,14,-0.5612414263399164,-0.04008867330999403,-35.85847166977242,2024-01-31,2024-02-06,-0.026638982360795538,0.01805339726280053,Long S1/Short S2,-0.04469237962359607,6
10,YOTTA ACQUISITION CORP-GLOBAL BLOCKCHAIN ACQ CORP,59276,59291,14,-0.5612414263399164,-0.04008867330999403,-35.85847166977242,2024-02-07,2024-02-08,-0.043558522431491165,0.020590830657076342,Long S1/Short S2,-0.0641493530885675,1
