permco_1,permco_2,ssd,comnam_1,ticker_1,naics_1,comnam_2,ticker_2,naics_2
20338,20999,0.06350826964678638,KEYSPAN ENERGY CORP,KSE,,INTERSTATE POWER CO,IPW,
21808,23001,0.07534366955983116,AMEREN CORP,AEE,221118,ASSOCIATES INVESTMENT CO,ATS,
21553,23980,0.07787017655270662,ST JOSEPH LIGHT & POWER CO,SAJ,,MIDWEST INVT CO,MWS,
21376,22534,0.08299887024197758,P P L CORP,PPL,221118,STANDARD BRANDS INC,SB,
21795,22504,0.09368720404894229,MARATHON OIL CORP,MRO,211120,REPUBLIC STEEL CORP,RS,
20486,22973,0.09832085225708678,UNICOM CORP HOLDING CO,UCM,,MURPHY G C & CO,MPH,
21458,24044,0.11154793274321811,PUBLIC SERVICE ENTERPRISE GP INC,PEG,221118,PACIFIC NORTHWEST BELL TEL CO,PNB,
21396,23418,0.11418090209445758,EXELON CORP,EXC,221118,CHAMPION SPARK PLUG CO,CHM,
21637,23540,0.11808451426411268,SOUTH JERSEY INDS INC,SJI,221118,NEW ENGLAND TEL & TELEG CO,NTT,
20646,21355,0.12542918537686298,EMPIRE DISTRICT ELEC CO,EDE,221122,PACIFIC ENTERPRISES,PET,
21476,21890,0.12889638561015432,QUESTAR CORP,STR,211112,AVISTA CORP,AVA,221118
20956,21434,0.13021568715272253,I E S INDUSTRIES INC,IES,,PRATT & LAMBERT UNITED INC,PLU,
20606,21729,0.1314512281102661,DU PONT E I DE NEMOURS & CO,DD,325320,TENNECO INC,TEN,
22809,23513,0.13561384295145057,UNITED CORP,U,,EBASCO INDUSTRIES INC,EBS,
21288,23284,0.13690842232046535,NIAGARA MOHAWK HOLDINGS INC,NMK,,MISSOURI PACIFIC CORP,MIS,
20815,21147,0.14221699511279493,GIANT GROUP LTD,GPO,,MAINE & MARITIMES CORP,MAM,551112
21941,22204,0.14407630257949744,WRIGLEY WILLIAM JR CO,WWY,311340,ATCHISON TOPEKA & SANTA FE RY CO,ASF,
23480,23880,0.1441756867707234,SOUTHEASTERN PUBLIC SERVICE CO,SPV,,HOLYOKE SHS INC,HKS,
20655,24243,0.14489921822699495,ENSERCH CORP,ENS,,UNION STOCK YARDS CO OMAHA LTD,UOS,
20612,22463,0.14636730871478384,DUQUESNE LIGHT HOLDINGS INC,DQE,562211,PACIFIC TELEPHONE & TELEG CO,PAC,
