permco_1,permco_2,ssd,comnam_1,ticker_1,naics_1,comnam_2,ticker_2,naics_2
23325,24075,0.09203106050553382,GENERAL BANCSHARES CORP,GBS,,PITTSBURGH & LAKE ERIE RR CO,PLE,
21332,21476,0.09344290688299667,ONEOK INC NEW,OKE,221210,QUESTAR CORP,STR,211112
20549,21932,0.09485103196564015,D P L INC,DPL,221111,INTEGRYS ENERGY GROUP INC,TEG,221210
20103,21401,0.09813676317282742,A T & T CORP,T,517212,CONOCOPHILLIPS,COP,213112
20499,20655,0.1032609425965445,CONSOLIDATED EDISON INC,ED,221118,ENSERCH CORP,ENS,
22959,24054,0.11178243541750882,WAUKESHA MTR CO,WKU,,MANPOWER INC NEW,MN,
20978,21795,0.11358941345457138,RYERSON INC,RYI,331221,MARATHON OIL CORP,MRO,211120
20214,20799,0.12008810365346667,ARMCO INC,AS,,GENERAL MOTORS CORP,GM,336111
20478,20649,0.12131328479131356,COLUMBIA ENERGY GROUP,CG,,ENERGEN CORP,EGN,211120
21288,22506,0.12234886995960384,NIAGARA MOHAWK HOLDINGS INC,NMK,,NABISCO GROUP HOLDING CORP,NGH,
20612,21553,0.12691216173159625,DUQUESNE LIGHT HOLDINGS INC,DQE,562211,ST JOSEPH LIGHT & POWER CO,SAJ,
21257,22610,0.13462194422009693,NATIONAL STEEL CORP,NS,,YOUNGSTOWN SHEET & TUBE CO,YB,
21255,24044,0.13642915479672119,NATIONAL FUEL GAS CO N J,NFG,221210,PACIFIC NORTHWEST BELL TEL CO,PNB,
22812,24515,0.13780921640802027,GRANITE CITY STL CO,GRC,,COOK UNITED INC NEW,CCF,
21080,21147,0.13884404892487356,SPIRE INC,SR,221210,MAINE & MARITIMES CORP,MAM,551112
21796,23540,0.14026553048126383,U S T INC,UST,312229,NEW ENGLAND TEL & TELEG CO,NTT,
20750,22969,0.1421305569013887,FORD MOTOR CO DEL,F,336110,CONTINENTAL STEEL CORP,CTL,
22973,23850,0.14229506224893895,MURPHY G C & CO,MPH,,GRIESEDIECK CO,GWB,
20851,21245,0.14263854005694263,VIAD CORP,VVI,561499,N L INDUSTRIES INC,NL,325180
21203,23001,0.14449191333077477,MIDWEST ENERGY CO,MWE,,ASSOCIATES INVESTMENT CO,ATS,
