permco_1,permco_2,ssd,comnam_1,ticker_1,naics_1,comnam_2,ticker_2,naics_2
2874,23084,0.06685935481286366,MERRITT CHAPMAN & SCOTT CORP,MERR,,DECCA RECORDS INC,DKA,
20655,21890,0.09426309061196858,ENSERCH CORP,ENS,,AVISTA CORP,AVA,221118
22378,22815,0.10738448204244144,KRAFT INC,KRA,,SURVEYOR FUND INC DE,SFI,
21272,23030,0.11089625520035919,NEW ENGLAND ELEC SYS,NES,,WOODWARD CORP,WOD,
20499,23123,0.111982311734083,CONSOLIDATED EDISON INC,ED,221118,KOPPERS CO,KOP,
21035,21559,0.11874411102707694,EVERGY INC,EVRG,221118,ENOVA CORP,ENA,
20574,21784,0.12259342295339669,D T E ENERGY CO,DTE,221118,AEROQUIP VICKERS INC,ANV,
21553,23180,0.13016702860914733,ST JOSEPH LIGHT & POWER CO,SAJ,,COLUMBUS & SOUTHN OHIO ELEC CO,COC,
21376,24158,0.13598861248826505,P P L CORP,PPL,221118,SIGNAL COMPANIES INC,SGN,
20612,22463,0.13821965006947118,DUQUESNE LIGHT HOLDINGS INC,DQE,562211,PACIFIC TELEPHONE & TELEG CO,PAC,
21300,22585,0.1411091477252399,X C E L ENERGY INC,XEL,221118,VAN RAALTE CO,VRT,
23229,23310,0.1412414406657682,KERN CTNY LD CO,KCL,,CARBORUNDUM CO,CBO,
21834,22809,0.14342520316373053,UNITED WATER RESOURCES INC,UWR,,UNITED CORP,U,
20478,23053,0.1460213288297337,COLUMBIA ENERGY GROUP,CG,,AMERICAN INVESTMENT CO,AIC,
22544,22972,0.14720295859939,SUNSHINE BISCUITS INC,SUS,,UNITED ENGINEERING & FOUNDRY CO,UEF,
20258,21326,0.15216525013617432,CONSTELLATION ENERGY GROUP INC,CEG,221119,FIRSTENERGY CORP,FE,221118
21215,21356,0.15499183466712885,TOUCH AMERICA HOLDINGS INC,TAA,,P G & E CORP,PCG,221118
22279,23264,0.1563082942098827,CONTINENTAL INSURANCE CO,CIS,,CAREY PHILIP MFG CO,CAY,
20568,22876,0.15901414926916468,CONECTIV INC,CIV,,AMERICAN CHAIN & CABLE INC,ACN,
21382,22446,0.16069164265405217,PEOPLES ENERGY CORP,PGL,221210,NORFOLK & WESTERN RAILWAY CO,NFK,
