permco_1,permco_2,ssd,comnam_1,ticker_1,naics_1,comnam_2,ticker_2,naics_2
20486,21355,0.11213704944831879,UNICOM CORP HOLDING CO,UCM,,PACIFIC ENTERPRISES,PET,
20258,21376,0.12809463268383917,CONSTELLATION ENERGY GROUP INC,CEG,221119,P P L CORP,PPL,221118
20994,22714,0.12870304233910163,INTERNATIONAL PAPER CO,IP,322120,CUTLER HAMMER INC,CH,
21255,21326,0.12948251712994902,NATIONAL FUEL GAS CO N J,NFG,221210,FIRSTENERGY CORP,FE,221118
21116,21640,0.1334320624640813,KEYSPAN CORP,KSE,221210,SOUTHERN CO,SO,221118
20103,23053,0.13481454628878903,A T & T CORP,T,517212,AMERICAN INVESTMENT CO,AIC,
20045,20612,0.1490300018688855,ALLEGHENY ENERGY INC,AYE,221121,DUQUESNE LIGHT HOLDINGS INC,DQE,562211
20361,20499,0.14921370903424194,C M S ENERGY CORP,CMS,221118,CONSOLIDATED EDISON INC,ED,221118
20626,22809,0.15072252531767957,EASTMAN KODAK CO,KODK,333310,UNITED CORP,U,
20478,21396,0.15223706438777893,COLUMBIA ENERGY GROUP,CG,,EXELON CORP,EXC,221118
22610,23355,0.15316439962353334,YOUNGSTOWN SHEET & TUBE CO,YB,,MADISON RES INC,MAD,
21758,22530,0.15335045044177242,TIMKEN CO,TKR,332991,SOUTHERN RAILWAY CO,SR,
23051,23352,0.1539901046183258,AXIA CORP,AX,,DAN RIVER INC,DML,
20077,20802,0.15440031819294397,AMERICAN ELECTRIC POWER CO INC,AEP,221118,G P U INC,GPU,
20228,21848,0.15585532211454384,ATLANTIC ENERGY INC N J,ATE,,AQUILA INC DEL NEW,ILA,221111
20276,20699,0.1627410064265005,BAUSCH & LOMB INC,BOL,339115,FERRO CORP,FOE,325510
21806,23189,0.1631720891139178,UNION CARBIDE CORP,UK,,CARLING OKEEFE LTD,CKB,
23360,23513,0.1679919166578568,HARSHAW CHEM CO,HCM,,EBASCO INDUSTRIES INC,EBS,
20191,22886,0.1710260309913153,AMOCO CORP,AN,,COMBUSTION ENGINEERING INC,CSP,
23131,23418,0.1721134763046228,ANDERSON CLAYTON & CO,AYL,,CHAMPION SPARK PLUG CO,CHM,
