Pair,Num_Trades,Total_PnL,Avg_PnL
GOLDMAN SACHS GROUP INC-G C M GROSVENOR INC,2,-0.2451926627269978,-0.1225963313634989
PRIMIS FINANCIAL CORP-M V B FINANCIAL CORP,2,-0.24736103674001453,-0.12368051837000726
SYNOVUS FINANCIAL CORP-EAST WEST BANCORP INC,4,-0.25047093986025226,-0.06261773496506307
REPUBLIC BANCORP INC KY-F B FINANCIAL CORP,5,-0.253508416599153,-0.050701683319830604
RAFAEL HOLDINGS INC-JOBY AVIATION INC,4,-0.254242970288731,-0.06356074257218275
JEFFERIES FINANCIAL GROUP INC-AVEPOINT INC,2,-0.2597265155209634,-0.1298632577604817
KEYCORP NEW-BLACKROCK INC,3,-0.2664707645801798,-0.08882358819339327
KEYCORP NEW-BLACKROCK INC NEW,3,-0.2664707645801798,-0.08882358819339327
BANK OF HAWAII CORP-STELLAR BANCORP INC,5,-0.27155382352223567,-0.05431076470444714
FIRST BANK-PRINCETON BANCORP INC,3,-0.2717094390978907,-0.09056981303263023
TARGET HOSPITALITY CORP-ABACUS LIFE INC,2,-0.2736866902237928,-0.1368433451118964
CUSTOMERS BANCORP INC-GOHEALTH INC,3,-0.27474506886776495,-0.09158168962258832
STONEX GROUP INC-MORGAN STANLEY DEAN WITTER & CO,4,-0.2846451671770265,-0.07116129179425662
HORIZON BANCORP INC-CAMDEN NATIONAL CORP,4,-0.2928789302370356,-0.0732197325592589
SEACOAST BANKING CORP FLA-TIMBERLAND BANCORP INC,5,-0.29684741488020094,-0.05936948297604019
WESTERN NEW ENGLAND BANCORP INC-SOUTHERN FIRST BANCSHARES INC,2,-0.2974128607935651,-0.14870643039678255
PRUDENTIAL FINANCIAL INC-N I HOLDINGS INC,3,-0.29771048575744585,-0.09923682858581528
HINGHAM INSTITUTION FOR SVGS MA-SANDY SPRING BANCORP INC,4,-0.29947869942273697,-0.07486967485568424
ALLY FINANCIAL INC-VERRA MOBILITY CORP,2,-0.3019715842603635,-0.15098579213018176
TOMPKINS FINANCIAL CORP-HANMI FINANCIAL CORP,3,-0.30796608642463585,-0.10265536214154529
BEACHBODY CO INC-CREATIVE MEDICAL TECH HLDGS INC,1,-0.31972061807398133,-0.31972061807398133
VALLEY NATIONAL BANCORP-MIDDLEFIELD BANC CORP,4,-0.32083745739335445,-0.08020936434833861
O F G BANCORP-S & P GLOBAL INC,3,-0.3247926173563114,-0.10826420578543712
CREDIT ACCEPTANCE CORP-INTERNATIONAL MONEY EXPRESS INC,3,-0.3285084750522066,-0.1095028250174022
FIRST BANCSHARES INC MS-BANKUNITED INC,3,-0.3309074432983439,-0.11030248109944796
AMERICAN EXPRESS CO-BRIGHTSPHERE INVESTMENT GRP INC,2,-0.3322877465856766,-0.1661438732928383
COMERICA INC-TEXAS CAPITAL BANCSHARES INC,5,-0.3541491753441799,-0.07082983506883597
BANK OF MARIN BANCORP-PEAPACK GLADSTONE FINANCIAL CORP,4,-0.3585456992915357,-0.08963642482288392
PACIFIC PREMIER BANCORP INC-NORWOOD FINANCIAL CORP,4,-0.36568859217181293,-0.09142214804295323
COLONY BANKCORP INC-FARMERS & MERCHANTS BANCORP INC,4,-0.3749516584857955,-0.09373791462144887
AMERISERV FINANCIAL INC-FVCBANKCORP INC,3,-0.3831342062193126,-0.1277114020731042
GLOBE LIFE INC-FLYWIRE CORP,1,-0.3877731672043869,-0.3877731672043869
GREEN DOT CORP-SKY HARBOUR GROUP CORP,1,-0.3989043689241165,-0.3989043689241165
SOFI TECHNOLOGIES INC-AFFIRM HOLDINGS INC,3,-0.40086409821544433,-0.13362136607181477
OCEANFIRST FINANCIAL CORP-HOME BANCORP INC,4,-0.40150145311539553,-0.10037536327884888
CITIZENS & NORTHERN CORP-FIDELITY D & D BANCORP INC,4,-0.4061178914870893,-0.10152947287177233
STEWART INFORMATION SVCS CORP-FIRST BANCORP P R,5,-0.4095716137874057,-0.08191432275748114
FUNDAMENTAL GLOBAL INC-MULTISENSOR AI HOLDINGS INC,1,-0.41981382461815286,-0.41981382461815286
FUNDAMENTAL GLOBAL INC-INFRARED CAMERAS HOLDINGS INC,1,-0.41981382461815286,-0.41981382461815286
